name;open;high;low;close;volume;marketCap;timestamp
"2781";98033.4427003163;98127.9981697019;97003.5311656233;97475.8202837092;52687125552.72;1928920849179.85;"2024-11-25T00:00:00.000Z"
"2781";97484.3581056108;98329.6532305858;97470.3601581807;98160.0779315267;54438722975.93;1942239995583.5;"2024-11-25T03:00:00.000Z"
"2781";98157.2071682647;98464.6369617321;97855.6164885717;98322.3357878909;55688858018.26;1945433038531.4;"2024-11-25T06:00:00.000Z"
"2781";98318.3590084092;98935.0318069042;98132.9668547428;98281.7624317434;58020467104.56;1944737116487.67;"2024-11-25T09:00:00.000Z"
"2781";98282.9550269514;98360.8672352673;95801.6798032398;95956.8371871314;57652454849.59;1898533990862.9;"2024-11-25T12:00:00.000Z"
"2781";95947.4945322228;96497.0459654704;94607.3466115389;95285.7922848968;66522819782.21;1885421492111.45;"2024-11-25T15:00:00.000Z"
"2781";95284.4581677468;95906.7657732236;94488.4978480509;94976.8392348589;73468838818.5;1879377455168.58;"2024-11-25T18:00:00.000Z"
"2781";94978.7821490195;95185.1775343272;92642.9148612771;93102.2952135852;80909462490;1842257290730.95;"2024-11-25T21:00:00.000Z"
"2781";93087.2799915931;94923.5830556824;92785.4768959009;94604.8060020835;84371376867.01;1871784197339.29;"2024-11-26T00:00:00.000Z"
"2781";94594.3361751438;94729.3176761276;94109.077713456;94661.1257849855;84590366312.83;1873180329149.74;"2024-11-26T03:00:00.000Z"
"2781";94664.5623719135;94991.7499693653;92347.4875267672;93010.3467192671;87905341308.49;1840606150522.51;"2024-11-26T06:00:00.000Z"
"2781";93018.1180820031;93764.4599240067;91463.3719095843;92365.0883018096;93184280774.02;1827700518495.11;"2024-11-26T09:00:00.000Z"
"2781";92365.7049421226;93506.3285415533;91765.5895742435;93404.955012204;99816351126.03;1848129839737.13;"2024-11-26T12:00:00.000Z"
"2781";93397.764490387;94702.8894630367;92383.5629543088;93568.2732146246;94921446012.29;1851645163907.55;"2024-11-26T15:00:00.000Z"
"2781";93575.2081225679;93649.3454269543;90770.8150406524;91220.8953701807;97398473126.81;1805099667932.94;"2024-11-26T18:00:00.000Z"
"2781";91222.7611081046;92321.7155637517;90805.0435417796;91985.3168304103;91656519855.42;1820053564596.46;"2024-11-26T21:00:00.000Z"
"2781";91978.1385818315;92996.2466212842;91778.6612119403;92925.7178490084;90006819043.38;1838741413149.06;"2024-11-27T00:00:00.000Z"
"2781";92922.4293909575;93166.9914278899;92337.8978460445;92692.2096993444;91090621477.16;1834091137243.44;"2024-11-27T03:00:00.000Z"
"2781";92687.1144247658;93622.233410264;92683.0170192595;93417.8187775534;87747954565.56;1848465971215.4;"2024-11-27T06:00:00.000Z"
"2781";93413.2643119686;93877.4219066935;93117.1742145766;93359.8026172699;79888921944.7;1847414094691.22;"2024-11-27T09:00:00.000Z"
"2781";93359.942012124;94915.2307263887;92860.2514096728;94909.6401160321;74974180710.98;1878433266493.94;"2024-11-27T12:00:00.000Z"
"2781";94927.2994027444;96386.891730175;94396.5607769462;96361.7379959188;76203692647.22;1907067952495.89;"2024-11-27T15:00:00.000Z"
"2781";96374.0469692217;97361.1819357048;96019.2244342789;96483.8008669458;71769562192;1909264871097.66;"2024-11-27T18:00:00.000Z"
"2781";96485.068674682;96677.4960988298;95865.3185567082;95962.5284193169;71133452438.22;1898774680758.02;"2024-11-27T21:00:00.000Z"
"2781";95954.9448816703;96650.2037683052;95725.0014775105;95767.0344790006;70567269198.17;1895126042025.14;"2024-11-28T00:00:00.000Z"
"2781";95760.3251912945;95970.0802606511;94912.5131752056;95523.7438389932;71091880632.59;1890257868248.04;"2024-11-28T03:00:00.000Z"
"2781";95524.546118065;95808.5375931892;95158.7487099265;95483.9141839331;70593424190.96;1889708676967.07;"2024-11-28T06:00:00.000Z"
"2781";95481.434189131;95760.9816257564;94677.3542961871;95568.2370995653;71797709648.79;1890806703925.36;"2024-11-28T09:00:00.000Z"
"2781";95565.7603072096;96214.0101568659;95101.060342395;95497.9192918981;69929439376.37;1889192945649.78;"2024-11-28T12:00:00.000Z"
"2781";95468.9063731026;95546.9215980472;94857.8752578127;94903.5395976862;62183542673.18;1878090152358.14;"2024-11-28T15:00:00.000Z"
"2781";94905.1946043416;95443.9645614423;94711.1619635377;94818.9854718042;55310544790.64;1876329979670.13;"2024-11-28T18:00:00.000Z"
"2781";94818.4502886287;96009.6164106565;94817.6771075669;95652.4651587091;52260008260.61;1892868519535.94;"2024-11-28T21:00:00.000Z"
"2781";95653.9525935763;96870.4804303007;95407.8863720956;96760.2557938265;51087122412.42;1914799911036.45;"2024-11-29T00:00:00.000Z"
"2781";96764.4393359842;96809.7114790398;96222.6801193763;96237.6681828155;47967716507.79;1903832588561.28;"2024-11-29T03:00:00.000Z"
"2781";96227.9794557109;96431.4900282456;95614.8433197306;95990.9530893598;47075331548.68;1899553547761.93;"2024-11-29T06:00:00.000Z"
